model_name,product_id,page_link,price,model_license,format,polygons,vertices,textures,materials,unwrapped_uvs,uv_mapped
3D Old leather sofa,2054346,https://www.turbosquid.com/FullPreview/Index.cfm/ID/2054346,Free,3D Model License: Standard,FBX,"2,630 Polygons","1,930 Vertices",Yes,No,Yes,Yes
3D model Old Sofa Low-poly PBR Free,1996382,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1996382,Free,3D Model License: Standard,FBX,"1,712 Polygons","2,041 Vertices",Yes,Yes,Yes,Yes
3D model Sofa Set 01,1973705,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1973705,Free,3D Model License: Standard,"NATIVEBlender 3.2.0 | Cycles Render, OBJ, FBX","60,384 Polygons","61,243 Vertices",Yes,Yes,Yes,No
3D model Collection Of 3D Furniture Vol1,1864341,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1864341,Free,3D Model License: Standard,,"100,000 Polygons","90,000 Vertices",Yes,Yes,Yes,Yes
3D Sofa Low-poly PBR,1749584,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1749584,Free,3D Model License: Standard,FBX,"13,438 Polygons","13,523 Vertices",Yes,Yes,Yes,Yes
3D model Low Poly Sofa,1741699,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1741699,Free,3D Model License: Standard,"OBJ, FBX, glTF, 3D Studio, Collada, AutoCAD drawing, STL","4,414 Polygons","2,364 Vertices",Yes,Yes,Yes,Yes
3D model Sofa 01,1545874,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1545874,Free,3D Model License: Standard,"NATIVE3ds Max 2014 | Corona, OBJ, FBX, 3D Studio",0 Polygons,"9,108 Vertices",Yes,Yes,Yes,Yes
SOFA-POLIFORM I Paris-Seoul 2 3D model,1687167,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1687167,Free,3D Model License: Standard,3ds Max 2013 V-Ray 4,"1,020,404 Polygons","994,906 Vertices",Yes,Yes,Yes,Yes
Interior Sofa 1 3D model,1660503,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1660503,Free,3D Model License: Standard,Blender 2.83 Cycles Render,"3,754 Polygons","1,937 Vertices",Yes,Yes,Yes,Yes
Interior Sofa 3(1) 3D,1660463,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1660463,Free,3D Model License: Standard,"FBX, Blender 2.83 Cycles Render","4,043 Polygons","2,165 Vertices",Yes,Yes,Yes,Yes
3D model Revit Family - Full scalable sofa 2,1634565,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1634565,Free,3D Model License: Standard,"NATIVERevit Family 2019, FBX 2015","21,762 Polygons","12,161 Vertices",No,No,Yes,No
Couch 3D,1603312,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1603312,Free,3D Model License: Standard,"NATIVEBlender 2.8 | Cycles Render, OBJ, FBX, Collada","17,232 Polygons","16,970 Vertices",Yes,Yes,Yes,Yes
Old Leather Sofa 3D model,1534247,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1534247,Free,3D Model License: Standard,"NATIVE3ds Max 2015 | Corona 5, OBJ, FBX","28,637 Polygons","31,396 Vertices",Yes,Yes,Yes,Yes
Leather pouf sofa pack 3D,1378130,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1378130,Free,3D Model License: Standard,FBX,"8,424 Polygons","4,306 Vertices",Yes,Yes,Yes,Yes
3D Sofa-pillows,1382118,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1382118,Free,3D Model License: Standard,"NATIVE3ds Max 2013 | V-Ray 3.20.02, OBJ, FBX","318,432 Polygons","315,104 Vertices",Yes,Yes,Yes,No
3D Continental-Sofa model,1840771,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1840771,Free,3D Model License: Standard,"NATIVEBlender 2.93.4 | Blender Render, 3ds Max 2021 V-Ray 3.2, 3ds Max 2021 Arnold 6.1, OBJ, FBX","145,367 Polygons","155,747 Vertices",Yes,Yes,Yes,Yes
3D Sofa Elsa model,1494441,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1494441,Free,3D Model License: Standard,"NATIVE3ds Max 2016 | V-Ray 4, 3ds Max 2016 Corona 2, OBJ 2016, FBX 2009","314,950 Polygons","313,978 Vertices",Yes,Yes,Yes,Yes
Revit family IKEA FLOTTEBO sleeper sofa 3D model,1479422,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1479422,Free,3D Model License: Standard,NATIVERevit Family 2018,1 Polygons,1 Vertices,Yes,Yes,Yes,No
3D Sofa Onda,1473548,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1473548,Free,3D Model License: Standard,"NATIVE3ds Max 2016 | V-Ray 3.50.04, 3ds Max 2013 V-Ray 3.50.04, OBJ 2016, FBX 2016","101,601 Polygons","102,225 Vertices",Yes,Yes,Yes,Yes
3D Curved sofa hollyHunt collection,1474089,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1474089,Free,3D Model License: Standard,"NATIVE3ds Max 2016 | V-Ray 3.4, 3ds Max 2013 V-Ray, OBJ, FBX, 3D Studio, AutoCAD drawing","62,172 Polygons","62,595 Vertices",Yes,Yes,Yes,Yes
Sofa Arona 3D model,1381415,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1381415,Free,3D Model License: Standard,"NATIVE3ds Max 2013 | V-Ray, OBJ, FBX",1 Polygons,1 Vertices,Yes,Yes,Yes,Yes
3D model sofa,1701735,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1701735,Free,3D Model License: Standard,"3ds Max 2018 V-Ray Next, 3ds Max 2015 V-Ray Next, OBJ 2018, FBX 2018","195,826 Polygons","196,269 Vertices",Yes,Yes,Yes,No
Sofa GM Italia Plutone,657824,https://www.turbosquid.com/FullPreview/Index.cfm/ID/657824,Free,3D Model License: Standard,"NATIVE3ds Max 2010 | V-Ray 1,5, OBJ, FBX","3,032 Polygons","3,091 Vertices",Yes,Yes,Yes,Yes
Ligne Roset Citta sofa and armchair,714627,https://www.turbosquid.com/FullPreview/Index.cfm/ID/714627,Free,3D Model License: Standard,"NATIVE3ds Max 2008 | V-Ray, OBJ, FBX","33,000 Polygons","33,200 Vertices",Yes,Yes,Yes,Yes
Saba Livingston Sofa and armchair,822544,https://www.turbosquid.com/FullPreview/Index.cfm/ID/822544,Free,3D Model License: Standard,3ds Max 2010 V-Ray,"208,000 Polygons","208,000 Vertices",Yes,Yes,Yes,Yes
Cloth sofa - 3 places,805880,https://www.turbosquid.com/FullPreview/Index.cfm/ID/805880,Free,3D Model License: Standard,"3ds Max 2011 V-Ray 2.30, 3ds Max 2014 V-Ray 2.30, OBJ 2014, FBX 2014, 3D Studio 2014","115,008 Polygons","115,148 Vertices",Yes,Yes,Yes,Yes
flexform long Island,655304,https://www.turbosquid.com/FullPreview/Index.cfm/ID/655304,Free,3D Model License: Standard,NATIVE3ds Max 2009 | V-Ray 1.50 SP2,"188,408 Polygons","188,500 Vertices",Yes,Yes,Yes,Yes
Chairs and Sofas,1102890,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1102890,Free,3D Model License: Standard,"NATIVEMaya  | Maya Hardware 2.0, OBJ, FBX","3,010 Polygons","1,584 Vertices",Yes,Yes,Yes,Yes
Sofa,1031408,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1031408,Free,3D Model License: Standard,"NATIVE3ds Max 2012 | V-Ray 2,10,01, OBJ","29,938 Polygons","22,408 Vertices",Yes,Yes,Yes,Yes
Classic Sofa,977350,https://www.turbosquid.com/FullPreview/Index.cfm/ID/977350,Free,3D Model License: Standard,"3ds Max 2011 V-Ray 3.00, 3ds Max 2011 Corona 1.3, OBJ 2011","890,848 Polygons","460,455 Vertices",Yes,Yes,Yes,Yes
Leather sofa,797581,https://www.turbosquid.com/FullPreview/Index.cfm/ID/797581,Free,3D Model License: Standard,"NATIVE3ds Max 2012 | V-Ray 2.40, OBJ 2012","584,840 Polygons","292,439 Vertices",Yes,Yes,Yes,No
Saba NewYork,822752,https://www.turbosquid.com/FullPreview/Index.cfm/ID/822752,Free,3D Model License: Standard,3ds Max 2011 V-Ray,"284,672 Polygons","284,694 Vertices",Yes,Yes,Yes,Yes
3D Cappellini Elan,1315227,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1315227,Free,3D Model License: Standard,"NATIVE3ds Max 2015 | Corona 1.7, OBJ, FBX","662,655 Polygons","676,239 Vertices",Yes,Yes,Yes,Yes
3D model Liv 1191,1172735,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1172735,Free,3D Model License: Standard,"NATIVE3ds Max 2011 | V-Ray, 3ds Max 2011 V-Ray, FBX, SketchUp 8, 3D Studio, AutoCAD drawing","1,690,518 Polygons","1,690,518 Vertices",Yes,Yes,Yes,Yes
Fridhem_max 8,420202,https://www.turbosquid.com/FullPreview/Index.cfm/ID/420202,Free,3D Model License: Standard,"3ds Max, 3D Studio","17,416 Polygons","17,618 Vertices",No,Yes,Yes,No
Techno Sofa & Chair,892324,https://www.turbosquid.com/FullPreview/Index.cfm/ID/892324,Free,3D Model License: Standard,NATIVE3ds Max 2012 | V-Ray 2.40.03,"36,440 Polygons","36,796 Vertices",Yes,Yes,Yes,Yes
modern sofa,537052,https://www.turbosquid.com/FullPreview/Index.cfm/ID/537052,Free,3D Model License: Standard,3ds Max 2009,"6,978 Polygons","9,208 Vertices",Yes,Yes,Yes,Yes
Couch Sofa,438687,https://www.turbosquid.com/FullPreview/Index.cfm/ID/438687,Free,3D Model License: Standard,Cinema 4D,0 Polygons,0 Vertices,Yes,Yes,Yes,No
sofa 3D,1165262,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1165262,Free,3D Model License: Standard,"NATIVE3ds Max 2013 | V-Ray, OBJ","10,880 Polygons","100,978 Vertices",Yes,Yes,Yes,Yes
Luxury Living Room Sofa,1100348,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1100348,Free,3D Model License: Standard,"NATIVEMaya 2017, 3ds Max 2017 Corona 1.5.2, OBJ, FBX 2014/2015","51,386 Polygons","53,218 Vertices",Yes,No,Yes,Yes
SOFA NOMADE EXPRESS,928132,https://www.turbosquid.com/FullPreview/Index.cfm/ID/928132,Free,3D Model License: Standard,"3ds Max 2010 Default Scanline 2010, OBJ, 3D Studio","160,000 Polygons","88,000 Vertices",No,No,Yes,No
3D model Trinity,1172781,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1172781,Free,3D Model License: Standard,"NATIVE3ds Max 2011 | V-Ray, FBX, SketchUp 8","33,378 Polygons","33,378 Vertices",Yes,Yes,Yes,Yes
Leather Sofa,863526,https://www.turbosquid.com/FullPreview/Index.cfm/ID/863526,Free,3D Model License: Standard,"OBJ, Blender 2.72, 3D Studio, Collada 1.5","410,658 Polygons","205,447 Vertices",Yes,Yes,Yes,Yes
Sofa Avalon,523259,https://www.turbosquid.com/FullPreview/Index.cfm/ID/523259,Free,3D Model License: Standard,"NATIVE3ds Max 2009 | V-Ray 1.5SP2, OBJ, 3D Studio","78,738 Polygons","83,742 Vertices",Yes,Yes,Yes,Yes
common couch 01,587657,https://www.turbosquid.com/FullPreview/Index.cfm/ID/587657,Free,3D Model License: Standard,"3ds Max 8, OBJ, 3D Studio, Collada",392 Polygons,244 Vertices,No,No,Yes,Yes
Sofa and Chair scene,659244,https://www.turbosquid.com/FullPreview/Index.cfm/ID/659244,Free,3D Model License: Standard,"NATIVE3ds Max 2012 | V-Ray 1.5sp6, 3ds Max 2010 V-Ray 1.5sp6, OBJ, FBX 2006","75,001 Polygons","45,845 Vertices",Yes,Yes,Yes,Yes
U-shaped_sofa,1063603,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1063603,Free,3D Model License: Standard,"OBJ, FBX, Blender 2.77a","102,368 Polygons","102,388 Vertices",No,Yes,Yes,No
modern_sofa,626573,https://www.turbosquid.com/FullPreview/Index.cfm/ID/626573,Free,3D Model License: Standard,"OBJ, Softimage 2010 Default Scanline, 3D Studio","146,144 Polygons","146,170 Vertices",Yes,No,Yes,Yes
M2 Sofa 3D,1182953,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1182953,Free,3D Model License: Standard,"NATIVE3ds Max 2011 | V-Ray, FBX, SketchUp 8, 3D Studio",0 Polygons,0 Vertices,Yes,Yes,Yes,Yes
3D model IKEA Klippan sofa with Artefly covers,1268926,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1268926,Free,3D Model License: Standard,"NATIVE3ds Max 2013 | V-Ray, Cinema 4D R18 VRAYforC4D, FBX","83,856 Polygons","84,232 Vertices",Yes,Yes,Yes,Yes
sofa 001,544439,https://www.turbosquid.com/FullPreview/Index.cfm/ID/544439,Free,3D Model License: Standard,"3ds Max 2010, Maya 2010, FBX 2010","9,460 Polygons","5,053 Vertices",Yes,Yes,Yes,Yes
Ploum Sofa Ligne Roset,928903,https://www.turbosquid.com/FullPreview/Index.cfm/ID/928903,Free,3D Model License: Standard,"3ds Max 2010 Default Scanline 2010, OBJ, 3D Studio","78,000 Polygons","42,900 Vertices",Yes,Yes,Yes,No
3D sofa model,1337981,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1337981,Free,3D Model License: Standard,"3ds Max 2017 V-Ray 3.60.03, OBJ 2017, FBX 2017, 3D Studio 2017","361,776 Polygons","180,922 Vertices",Yes,Yes,Yes,No
3D Stellar Works Lunar model,1305340,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1305340,Free,3D Model License: Standard,"3ds Max 2014 Corona 1.7, OBJ, FBX","366,516 Polygons","345,863 Vertices",Yes,Yes,Yes,Yes
Soft Sofa free 01,758576,https://www.turbosquid.com/FullPreview/Index.cfm/ID/758576,Free,3D Model License: Standard,"NATIVE3ds Max 2010 | V-Ray 1.50 SP4, OBJ, FBX","185,750 Polygons","187,310 Vertices",No,No,Yes,No
Aspen Armchair + Sofa,949055,https://www.turbosquid.com/FullPreview/Index.cfm/ID/949055,Free,3D Model License: Standard,"NATIVE3ds Max 2014 | V-Ray 3.20.03, OBJ, FBX, 3D Studio, DXF","100,974 Polygons","96,019 Vertices",Yes,Yes,Yes,Yes
Danish sofa 3D model,1041061,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1041061,Free,3D Model License: Standard,NATIVE3ds Max 2016 | V-Ray 3.2.0,"628,350 Polygons","629,195 Vertices",Yes,Yes,Yes,Yes
Donghia Gramercy Sofa 2p - free,932816,https://www.turbosquid.com/FullPreview/Index.cfm/ID/932816,Free,3D Model License: Standard,"NATIVE3ds Max 2010 | V-Ray 2.30, 3ds Max 2010 Default Scanline, 3ds Max 2010 V-Ray 2.30, OBJ, FBX, 3D Studio","19,978 Polygons","20,006 Vertices",Yes,Yes,Yes,Yes
3D model sofa L shape,1199331,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1199331,Free,3D Model License: Standard,NATIVE3ds Max  | V-Ray 3.6,"169,042 Polygons","97,251 Vertices",Yes,Yes,Yes,Yes
Blue Craft Sofa,1029088,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1029088,Free,3D Model License: Standard,"NATIVE3ds Max 2014 | V-Ray 3.3, 3ds Max 2014 Corona 1.3, OBJ 2014, FBX 2014","434,496 Polygons","296,723 Vertices",Yes,Yes,Yes,Yes
Garden Sofa,732823,https://www.turbosquid.com/FullPreview/Index.cfm/ID/732823,Free,3D Model License: Standard,"3ds Max 2010 mental ray 2012, 3ds Max 2011 mental ray 2012, 3ds Max 2012 mental ray 2012","537,422 Polygons","288,364 Vertices",Yes,Yes,Yes,Yes
Modern Sofa,447095,https://www.turbosquid.com/FullPreview/Index.cfm/ID/447095,Free,3D Model License: Standard,"NATIVE3ds Max 2009 | V-Ray 1.50, OBJ","167,112 Polygons","83,950 Vertices",Yes,Yes,Yes,Yes
Couch,1088888,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1088888,Free,3D Model License: Standard,OBJ,7 Polygons,7 Vertices,Yes,Yes,Yes,Yes
couch,640564,https://www.turbosquid.com/FullPreview/Index.cfm/ID/640564,Free,3D Model License: Standard,Cinema 4D 13 Advanced Render,"45,254 Polygons","22,655 Vertices",No,Yes,Yes,No
Sofa Hepburn Modular,928946,https://www.turbosquid.com/FullPreview/Index.cfm/ID/928946,Free,3D Model License: Standard,"3ds Max 2010 Default Scanline 2010, OBJ, 3D Studio","248,910 Polygons","150,475 Vertices",No,No,Yes,No
Sofa Model model,1262594,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1262594,Free,3D Model License: Standard,"NATIVE3ds Max 2018 | V-Ray 3.6, OBJ 2018, FBX 2018","11,331 Polygons","6,685 Vertices",Yes,Yes,Yes,Yes
Couch and Chaise,368829,https://www.turbosquid.com/FullPreview/Index.cfm/ID/368829,Free,3D Model License: Standard,"OBJ, Cinema 4D 9.1, 3D Studio","49,668 Polygons",0 Vertices,Yes,Yes,Yes,No
"Living Room Table,Sofa , Chair",656424,https://www.turbosquid.com/FullPreview/Index.cfm/ID/656424,Free,3D Model License: Standard,"NATIVEMaya 2012 | mental ray 3,9, OBJ, Maya 2012 mental ray 3.9","2,890 Polygons","1,462 Vertices",No,Yes,Yes,No
DS-167 Sofa,832909,https://www.turbosquid.com/FullPreview/Index.cfm/ID/832909,Free,3D Model License: Standard,"3ds Max 2010 Default Scanline, OBJ, 3D Studio","66,728 Polygons","67,130 Vertices",Yes,Yes,Yes,No
Andy'13 Sofa B&B,929999,https://www.turbosquid.com/FullPreview/Index.cfm/ID/929999,Free,3D Model License: Standard,"3ds Max 2010 Default Scanline 2010, OBJ, 3D Studio","66,180 Polygons","54,832 Vertices",Yes,Yes,Yes,Yes
3D Hoop sofa 200,1181899,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1181899,Free,3D Model License: Standard,"NATIVE3ds Max 2011 | V-Ray, FBX, SketchUp 8","33,002 Polygons","33,002 Vertices",Yes,Yes,Yes,Yes
Sofa 031,700013,https://www.turbosquid.com/FullPreview/Index.cfm/ID/700013,Free,3D Model License: Standard,"NATIVE3ds Max 2010 | V-Ray 2.0, OBJ, FBX, 3D Studio","2,959 Polygons","1,561 Vertices",No,Yes,Yes,Yes
Modern Sofa,631932,https://www.turbosquid.com/FullPreview/Index.cfm/ID/631932,Free,3D Model License: Standard,"3ds Max 2010 V-Ray 2.10, OBJ, FBX, 3D Studio","191,396 Polygons","133,646 Vertices",Yes,Yes,Yes,Yes
Fabric Couch,1079585,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1079585,Free,3D Model License: Standard,NATIVE3ds Max 2017 | V-Ray 3.40.01,"253,394 Polygons","253,600 Vertices",Yes,Yes,Yes,Yes
luxury sofa,796135,https://www.turbosquid.com/FullPreview/Index.cfm/ID/796135,Free,3D Model License: Standard,3ds Max 11 V-Ray 2,"42,061 Polygons","41,552 Vertices",Yes,Yes,Yes,Yes
Sofa-Kit,778930,https://www.turbosquid.com/FullPreview/Index.cfm/ID/778930,Free,3D Model License: Standard,"OBJ, FBX","16,870 Polygons","17,314 Vertices",Yes,No,Yes,Yes
The Simple Leather and Wooden Couch 3D,1364505,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1364505,Free,3D Model License: Standard,"NATIVE3ds Max 2019.2 | Corona 2.0, OBJ 2019.2, FBX 2019.2, IGES 2019.2, AutoCAD drawing 2019.2, 3D Studio 2019.2","10,800 Polygons","5,414 Vertices",Yes,Yes,Yes,No
M3 3-Seater 3D model,1185789,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1185789,Free,3D Model License: Standard,"NATIVE3ds Max 2011 | V-Ray, FBX, SketchUp 8, 3D Studio","67,679 Polygons","67,679 Vertices",Yes,Yes,Yes,Yes
3D 3-Seat Sofa,1188390,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1188390,Free,3D Model License: Standard,"NATIVE3ds Max 2011 | V-Ray, 3ds Max 2011 V-Ray, FBX, SketchUp 8","57,218 Polygons","57,218 Vertices",Yes,Yes,Yes,Yes
luxury sofa,796136,https://www.turbosquid.com/FullPreview/Index.cfm/ID/796136,Free,3D Model License: Standard,3ds Max 12 V-Ray 2,"33,094 Polygons","32,602 Vertices",Yes,Yes,Yes,Yes
Sofa FSV300,929148,https://www.turbosquid.com/FullPreview/Index.cfm/ID/929148,Free,3D Model License: Standard,"3ds Max 2010 Default Scanline 2010, OBJ, 3D Studio","118,876 Polygons","59,501 Vertices",No,No,Yes,No
Lino_Sofa.3DS,330282,https://www.turbosquid.com/FullPreview/Index.cfm/ID/330282,Free,3D Model License: Standard,"3ds Max 8, 3D Studio","5,176 Polygons",0 Vertices,No,No,Yes,No
Chair Double 3D model,1173009,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1173009,Free,3D Model License: Standard,"NATIVE3ds Max 2011 | V-Ray, 3ds Max 2011 V-Ray, FBX, SketchUp 8, 3D Studio","24,670 Polygons","24,670 Vertices",Yes,Yes,Yes,Yes
DS-2070 Sofa,833066,https://www.turbosquid.com/FullPreview/Index.cfm/ID/833066,Free,3D Model License: Standard,"3ds Max 2010 Default Scanline, OBJ, 3D Studio","144,595 Polygons","144,666 Vertices",Yes,Yes,Yes,No
Sofa loveseat051_max,235304,https://www.turbosquid.com/FullPreview/Index.cfm/ID/235304,Free,3D Model License: Standard,3ds Max 3.0,"1,422 Polygons",728 Vertices,Yes,Yes,Yes,No
Doris Leslie Blau LLC,1075983,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1075983,Free,3D Model License: Standard,"NATIVEBlender 2.77, OBJ, FBX 7.4 binary, Collada","127,690 Polygons","127,719 Vertices",No,No,Yes,No
Sofa Ruche Ligne Roset,928940,https://www.turbosquid.com/FullPreview/Index.cfm/ID/928940,Free,3D Model License: Standard,"3ds Max 2010 Default Scanline 2010, OBJ, 3D Studio","234,000 Polygons","235,102 Vertices",No,No,Yes,No
interior Sofa 3D model,1376422,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1376422,Free,3D Model License: Standard,FBX,"2,400 Polygons","12,000 Vertices",Yes,No,Yes,Yes
Green sofa,1032039,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1032039,Free,3D Model License: Standard,3ds Max 2015 V-Ray 3.00.08,"3,188 Polygons","3,658 Vertices",Yes,Yes,Yes,No
Sofa,1015498,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1015498,Free,3D Model License: Standard,"NATIVEBlender, OBJ, FBX, Unreal","2,008 Polygons","2,032 Vertices",Yes,Yes,Yes,Yes
Sofa,895356,https://www.turbosquid.com/FullPreview/Index.cfm/ID/895356,Free,3D Model License: Standard,"OBJ, Blender","4,480 Polygons","4,594 Vertices",No,No,Yes,No
sante sofa,422338,https://www.turbosquid.com/FullPreview/Index.cfm/ID/422338,Free,3D Model License: Standard,"Cinema 4D c4d, 3D Studio 3ds","53,516 Polygons",0 Vertices,Yes,Yes,Yes,No
Sofa Malibu,1044158,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1044158,Free,3D Model License: Standard,"NATIVE3ds Max 2009 | V-Ray 1.5SP2, OBJ, 3D Studio","9,959 Polygons","9,777 Vertices",Yes,Yes,Yes,Yes
White sofa,1121815,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1121815,Free,3D Model License: Standard,"3ds Max 2014 V-Ray 3.00.03, OBJ 2014, FBX","296,560 Polygons","148,562 Vertices",No,No,Yes,No
Sofa sets....,354094,https://www.turbosquid.com/FullPreview/Index.cfm/ID/354094,Free,3D Model License: Standard,3ds Max 9,0 Polygons,0 Vertices,No,Yes,Yes,No
Franz Fertig Sofabed Intro,967284,https://www.turbosquid.com/FullPreview/Index.cfm/ID/967284,Free,3D Model License: Standard,"NATIVE3ds Max 2015 | Other Corona, FBX 2015","198,112 Polygons","99,086 Vertices",No,Yes,Yes,No
Living room set FLV301,927779,https://www.turbosquid.com/FullPreview/Index.cfm/ID/927779,Free,3D Model License: Standard,"3ds Max 2010, OBJ, 3D Studio","777,754 Polygons","478,963 Vertices",No,No,Yes,No
Sofa,783729,https://www.turbosquid.com/FullPreview/Index.cfm/ID/783729,Free,3D Model License: Standard,"3ds Max 2012, OBJ, FBX","174,488 Polygons","88,064 Vertices",Yes,Yes,Yes,No
Sofa collection CIRRUS by DIZAJNO,745301,https://www.turbosquid.com/FullPreview/Index.cfm/ID/745301,Free,3D Model License: Standard,3ds Max 2012 V-Ray,"33,700 Polygons","27,717 Vertices",Yes,Yes,Yes,Yes
suite,394526,https://www.turbosquid.com/FullPreview/Index.cfm/ID/394526,Free,3D Model License: Standard,Cinema 4D R10,1 Polygons,1 Vertices,Yes,Yes,Yes,No
subdivided lowpoly1 sofa,355986,https://www.turbosquid.com/FullPreview/Index.cfm/ID/355986,Free,3D Model License: Standard,"3ds Max 7, 3ds Max 7vray, OBJ, 3D Studio, DXF","13,405 Polygons","13,549 Vertices",No,Yes,Yes,No
