model_name,product_id,page_link,price,model_license,format,polygons,vertices,textures,materials,unwrapped_uvs,uv_mapped
Sofa HollyWood,1054080,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1054080,Free,3D Model License: Standard,"NATIVE3ds Max 2009 | V-Ray 1.5SP2, OBJ, 3D Studio","19,820 Polygons","18,536 Vertices",Yes,Yes,Yes,Yes
Modern Sofa,869781,https://www.turbosquid.com/FullPreview/Index.cfm/ID/869781,Free,3D Model License: Standard,NATIVE3ds Max 2012 | V-Ray 3.0,"430,605 Polygons","215,328 Vertices",Yes,Yes,Yes,Yes
3D Snowdonia Large Settee,1176578,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1176578,Free,3D Model License: Standard,"NATIVE3ds Max 2011 | V-Ray, FBX, SketchUp 8, 3D Studio","4,888 Polygons","4,888 Vertices",Yes,Yes,Yes,Yes
luxurysofa,796133,https://www.turbosquid.com/FullPreview/Index.cfm/ID/796133,Free,3D Model License: Standard,3ds Max 11 V-Ray 2,"31,463 Polygons","33,832 Vertices",Yes,Yes,Yes,No
Classic sofa,816865,https://www.turbosquid.com/FullPreview/Index.cfm/ID/816865,Free,3D Model License: Standard,"NATIVE3ds Max 2012 | V-Ray 2.00.03, OBJ, FBX, 3D Studio","112,000 Polygons","56,000 Vertices",No,Yes,Yes,No
22.max,408629,https://www.turbosquid.com/FullPreview/Index.cfm/ID/408629,Free,3D Model License: Standard,3ds Max 3ds,"1,000 Polygons","1,000 Vertices",No,No,Yes,No
sofa 3D,1366084,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1366084,Free,3D Model License: Standard,3ds Max 2017 Corona,882 Polygons,"884,522 Vertices",No,No,Yes,Yes
Sofa,928787,https://www.turbosquid.com/FullPreview/Index.cfm/ID/928787,Free,3D Model License: Standard,"NATIVE3ds Max 2014 | V-Ray 3.60.03, OBJ, FBX","18,404 Polygons","18,460 Vertices",Yes,Yes,Yes,Yes
Space Invaders Couch,735552,https://www.turbosquid.com/FullPreview/Index.cfm/ID/735552,Free,3D Model License: Standard,"NATIVEBlender 2.66 | Blender Render, 3ds Max 7 Default Scanline, OBJ, FBX, 3D Studio, DXF, VRML","4,256 Polygons","3,769 Vertices",No,Yes,Yes,No
3D Sofa model,1331241,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1331241,Free,3D Model License: Standard,NATIVEBlender 2.79 | Cycles Render,3 Polygons,"228,370 Vertices",No,No,Yes,No
Generic Sofa Variety Pack 3D model,1213879,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1213879,Free,3D Model License: Standard,OBJ 1.0,"15,024 Polygons","13,838 Vertices",Yes,Yes,Yes,Yes
Sofa Phoenix,992205,https://www.turbosquid.com/FullPreview/Index.cfm/ID/992205,Free,3D Model License: Standard,"NATIVE3ds Max 2012 | V-Ray, 3ds Max 2010 V-Ray, OBJ, FBX","18,402 Polygons","11,968 Vertices",Yes,Yes,Yes,No
Sofa,955591,https://www.turbosquid.com/FullPreview/Index.cfm/ID/955591,Free,3D Model License: Standard,"3ds Max  mental ray 2016, OBJ, FBX, 3D Studio, Shockwave 3D","12,856 Polygons","12,889 Vertices",Yes,Yes,Yes,Yes
SPENCER SOFA GUS MODERN,928203,https://www.turbosquid.com/FullPreview/Index.cfm/ID/928203,Free,3D Model License: Standard,"3ds Max 2010 Default Scanline 2010, OBJ, 3D Studio","436,000 Polygons","227,174 Vertices",No,No,Yes,No
Bantam_Sofa.3DS,330264,https://www.turbosquid.com/FullPreview/Index.cfm/ID/330264,Free,3D Model License: Standard,"3ds Max 8, 3D Studio","22,181 Polygons",0 Vertices,No,No,Yes,No
Sofa Group,190504,https://www.turbosquid.com/FullPreview/Index.cfm/ID/190504,Free,3D Model License: Standard,3ds Max 4.00,"42,053 Polygons","21,993 Vertices",Yes,Yes,Yes,No
3D Sofa LannaStyleV1,1309633,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1309633,Free,3D Model License: Standard,NATIVEMaya 2018 | Arnold 2018,"154,548 Polygons","154,933 Vertices",Yes,Yes,Yes,Yes
Sofa,847212,https://www.turbosquid.com/FullPreview/Index.cfm/ID/847212,Free,3D Model License: Standard,NATIVE3ds Max 2011 | Default Scanline,"2,000 Polygons","2,000 Vertices",No,No,Yes,Yes
Sofa Belem Ligne Roset,928860,https://www.turbosquid.com/FullPreview/Index.cfm/ID/928860,Free,3D Model License: Standard,"3ds Max 2010 Default Scanline 2010, OBJ, 3D Studio","21,000 Polygons","11,550 Vertices",No,No,Yes,No
Couch 01,474580,https://www.turbosquid.com/FullPreview/Index.cfm/ID/474580,Free,3D Model License: Standard,"NATIVE3ds Max 2012 | V-Ray 3.30, 3ds Max 2012 mental ray, OBJ, Cinema 4D R16 V-Ray 3.4","17,178 Polygons","17,340 Vertices",Yes,Yes,Yes,Yes
3D model Sofa Set 01,1350536,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1350536,Free,3D Model License: Standard,NATIVE3ds Max 2017 | V-Ray 3.40,"86,778 Polygons","45,140 Vertices",Yes,Yes,Yes,Yes
Sofa,591402,https://www.turbosquid.com/FullPreview/Index.cfm/ID/591402,Free,3D Model License: Standard,"OBJ, Lightwave 9.6, DXF, 3D Studio","9,523 Polygons","9,362 Vertices",Yes,Yes,Yes,No
3D Outdoor Sofa Set model,1328691,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1328691,Free,3D Model License: Standard,OBJ,3 Polygons,16 Vertices,Yes,No,Yes,No
Low poly Sofa in 3 colors,952590,https://www.turbosquid.com/FullPreview/Index.cfm/ID/952590,Free,3D Model License: Standard,"NATIVEMaya 2014 | mental ray, Maya 2014 mental ray",11 Polygons,1 Vertices,Yes,Yes,Yes,No
boss adda,165566,https://www.turbosquid.com/FullPreview/Index.cfm/ID/165566,Free,3D Model License: Standard,"3ds Max, Lightwave 5.60",0 Polygons,0 Vertices,Yes,Yes,Yes,No
Sofa and armchair set,1121070,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1121070,Free,3D Model License: Standard,"NATIVE3ds Max 2017 | V-Ray 3.40, 3ds Max 2014 V-Ray 3.40, OBJ, FBX","93,000 Polygons","60,000 Vertices",Yes,Yes,Yes,Yes
Sofa Set,726727,https://www.turbosquid.com/FullPreview/Index.cfm/ID/726727,Free,3D Model License: Standard,3ds Max 1.0 V-Ray,"11,634 Polygons","10,327 Vertices",No,No,Yes,No
Sofa 038 Clein,329743,https://www.turbosquid.com/FullPreview/Index.cfm/ID/329743,Free,3D Model License: Standard,"NATIVE3ds Max 6 | V-Ray, 3D Studio","9,934 Polygons","5,353 Vertices",Yes,Yes,Yes,Yes
Denim sofa 3D model,1334588,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1334588,Free,3D Model License: Standard,"NATIVE3ds Max 2016 | V-Ray, OBJ, FBX, 3D Studio, Collada, AutoCAD drawing, DXF, Pulse, STL, Shockwave 3D, VRML","30,060 Polygons","30,073 Vertices",Yes,Yes,Yes,Yes
Simple Sofa,1075126,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1075126,Free,3D Model License: Standard,"NATIVE3ds Max 2016 | V-Ray, 3ds Max 2015 V-Ray, 3ds Max 2014 V-Ray, 3ds Max 2013 V-Ray, OBJ, FBX, 3D Studio","107,570 Polygons","61,905 Vertices",No,No,Yes,Yes
Sofa,808675,https://www.turbosquid.com/FullPreview/Index.cfm/ID/808675,Free,3D Model License: Standard,"NATIVE3ds Max 2014 | V-Ray 2.4, OBJ, FBX, 3D Studio","10,465 Polygons","10,400 Vertices",Yes,Yes,Yes,Yes
Cool Sphere Couch,521581,https://www.turbosquid.com/FullPreview/Index.cfm/ID/521581,Free,3D Model License: Standard,3ds Max 2010,0 Polygons,0 Vertices,Yes,Yes,Yes,No
3D Sofa Gispen,1303004,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1303004,Free,3D Model License: Standard,Cinema 4D 18,576 Polygons,234 Vertices,No,Yes,Yes,No
CANASTA '13 sofa,940718,https://www.turbosquid.com/FullPreview/Index.cfm/ID/940718,Free,3D Model License: Standard,"3ds Max 2010 Default Scanline 2010, OBJ, 3D Studio","35,640 Polygons","37,560 Vertices",Yes,Yes,Yes,Yes
Concept furniture set,868428,https://www.turbosquid.com/FullPreview/Index.cfm/ID/868428,Free,3D Model License: Standard,"NATIVE3ds Max 2011 | V-Ray 3, OBJ, FBX, 3D Studio","49,828 Polygons","50,148 Vertices",Yes,Yes,Yes,Yes
S Sofa,656925,https://www.turbosquid.com/FullPreview/Index.cfm/ID/656925,Free,3D Model License: Standard,"NATIVE3ds Max 2009 | V-Ray 2.10.01, OBJ, 3D Studio","20,092 Polygons","10,064 Vertices",Yes,Yes,Yes,Yes
3D Sofa model,1150689,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1150689,Free,3D Model License: Standard,NATIVE3ds Max 2014 | V-Ray 2.40.04,"7,584 Polygons","7,666 Vertices",No,Yes,Yes,No
Sofa luxury leather for cafe,982567,https://www.turbosquid.com/FullPreview/Index.cfm/ID/982567,Free,3D Model License: Standard,"NATIVE3ds Max 2011 | V-Ray 3.0, OBJ, FBX, 3D Studio","5,840 Polygons","5,130 Vertices",Yes,Yes,Yes,Yes
Couch,925999,https://www.turbosquid.com/FullPreview/Index.cfm/ID/925999,Free,3D Model License: Standard,"OBJ 2013, Maya 2013 mental ray 2013, FBX 2013","11,448 Polygons","11,666 Vertices",No,Yes,Yes,No
2 sofas & 1 arm-chair,295907,https://www.turbosquid.com/FullPreview/Index.cfm/ID/295907,Free,3D Model License: Standard,DXF,"7,000 Polygons",0 Vertices,No,No,Yes,Yes
Sofa,759234,https://www.turbosquid.com/FullPreview/Index.cfm/ID/759234,Free,3D Model License: Standard,"OBJ, FBX, Blender, 3D Studio","6,624 Polygons","6,654 Vertices",Yes,Yes,Yes,Yes
Dirty Old Couch 3D model,1384995,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1384995,Free,3D Model License: Standard,,"2,536 Polygons","2,571 Vertices",Yes,Yes,Yes,Yes
Sofa red plastic-jeans 3D,1333804,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1333804,Free,3D Model License: Standard,"NATIVE3ds Max 2016 | V-Ray, OBJ, FBX, 3D Studio, Collada, AutoCAD drawing, DXF, Pulse, STL, Shockwave 3D, VRML","26,500 Polygons","26,450 Vertices",Yes,Yes,Yes,Yes
3D model Couch,1284594,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1284594,Free,3D Model License: Standard,"NATIVE3ds Max 2018 | Arnold, OBJ 2018","398,856 Polygons","402,010 Vertices",No,No,Yes,No
Sofa (Revit 2012 with materials and dimensions parameters),806005,https://www.turbosquid.com/FullPreview/Index.cfm/ID/806005,Free,3D Model License: Standard,Revit Family 2012,100 Polygons,100 Vertices,Yes,Yes,Yes,No
Wave concrete sofa,701101,https://www.turbosquid.com/FullPreview/Index.cfm/ID/701101,Free,3D Model License: Standard,Cinema 4D R12 Advanced Render,0 Polygons,0 Vertices,Yes,Yes,Yes,No
Orange sofa,333405,https://www.turbosquid.com/FullPreview/Index.cfm/ID/333405,Free,3D Model License: Standard,3D Studio,0 Polygons,0 Vertices,No,No,Yes,No
Sofa,951680,https://www.turbosquid.com/FullPreview/Index.cfm/ID/951680,Free,3D Model License: Standard,"OBJ, FBX, 3D Studio","10,950 Polygons","7,399 Vertices",Yes,Yes,Yes,No
Sofa Couch,401149,https://www.turbosquid.com/FullPreview/Index.cfm/ID/401149,Free,3D Model License: Standard,3ds Max,"1,290 Polygons",0 Vertices,Yes,No,Yes,No
simple sofa,822620,https://www.turbosquid.com/FullPreview/Index.cfm/ID/822620,Free,3D Model License: Standard,"OBJ, 3D Studio","10,364 Polygons","5,194 Vertices",No,Yes,Yes,No
Sofa,1095758,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1095758,Free,3D Model License: Standard,3D Studio 2016,"230,000 Polygons",130 Vertices,No,No,Yes,No
Divano.max,395622,https://www.turbosquid.com/FullPreview/Index.cfm/ID/395622,Free,3D Model License: Standard,3ds Max,0 Polygons,0 Vertices,No,No,Yes,No
Sling_Sofa.3DS,330285,https://www.turbosquid.com/FullPreview/Index.cfm/ID/330285,Free,3D Model License: Standard,"3ds Max 8, 3D Studio","8,628 Polygons",0 Vertices,No,No,Yes,No
garden sofa,673700,https://www.turbosquid.com/FullPreview/Index.cfm/ID/673700,Free,3D Model License: Standard,3ds Max 2011 V-Ray,"12,784 Polygons","16,138 Vertices",No,No,Yes,No
SOFA MAX,441736,https://www.turbosquid.com/FullPreview/Index.cfm/ID/441736,Free,3D Model License: Standard,3ds Max 8.0,0 Polygons,0 Vertices,Yes,Yes,Yes,No
Waiting bench / Leather SOFA 3D,1313865,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1313865,Free,3D Model License: Standard,"NATIVE3ds Max 2016 | V-Ray 3.40, OBJ, FBX","18,857 Polygons","20,216 Vertices",Yes,Yes,Yes,Yes
Stylish Couch 3D model,1168369,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1168369,Free,3D Model License: Standard,"NATIVE3ds Max 2018 | Default Scanline, OBJ, FBX, 3D Studio","300,752 Polygons","154,129 Vertices",Yes,Yes,Yes,No
sofa.c4d,326779,https://www.turbosquid.com/FullPreview/Index.cfm/ID/326779,Free,3D Model License: Standard,Cinema 4D,931 Polygons,0 Vertices,No,Yes,Yes,No
Classical Sofa 3D model,1328687,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1328687,Free,3D Model License: Standard,,6 Polygons,6 Vertices,Yes,No,Yes,No
Armchair,1115271,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1115271,Free,3D Model License: Standard,"3ds Max 2016 Default Scanline, 3ds Max 2013 Default Scanline, 3ds Max 2014 Default Scanline, 3ds Max 2015 Default Scanline, OBJ, FBX","118,280 Polygons","59,162 Vertices",No,No,Yes,No
Sofa collection FLORA by DIZAJNO,745452,https://www.turbosquid.com/FullPreview/Index.cfm/ID/745452,Free,3D Model License: Standard,3ds Max 2012 V-Ray,"38,000 Polygons","36,893 Vertices",Yes,Yes,Yes,Yes
Couch model,1384077,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1384077,Free,3D Model License: Standard,NATIVE3ds Max 2016 | V-Ray 3.5,"5,536 Polygons","5,538 Vertices",Yes,Yes,Yes,Yes
Free sofa low poly 3D model,1385084,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1385084,Free,3D Model License: Standard,FBX,429 Polygons,459 Vertices,No,No,Yes,No
Wood sofa 3D model,1324072,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1324072,Free,3D Model License: Standard,OBJ,1 Polygons,8 Vertices,No,No,Yes,No
Sofa 3D,1324059,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1324059,Free,3D Model License: Standard,OBJ,1 Polygons,4 Vertices,No,No,Yes,No
sofa - Decorative Lines,502151,https://www.turbosquid.com/FullPreview/Index.cfm/ID/502151,Free,3D Model License: Standard,,"140,000 Polygons","140,000 Vertices",No,Yes,Yes,No
modern_chair,340186,https://www.turbosquid.com/FullPreview/Index.cfm/ID/340186,Free,3D Model License: Standard,3ds Max 9,0 Polygons,0 Vertices,Yes,Yes,Yes,No
Sofa kaki.skp,333188,https://www.turbosquid.com/FullPreview/Index.cfm/ID/333188,Free,3D Model License: Standard,,0 Polygons,0 Vertices,No,No,Yes,No
sofa,974701,https://www.turbosquid.com/FullPreview/Index.cfm/ID/974701,Free,3D Model License: Standard,NATIVE3ds Max 2012 | mental ray,"5,259 Polygons","2,585 Vertices",Yes,No,Yes,No
Sofa - Game Model,548586,https://www.turbosquid.com/FullPreview/Index.cfm/ID/548586,Free,3D Model License: Standard,3ds Max 8,270 Polygons,164 Vertices,Yes,Yes,Yes,Yes
Sofa.skp,333193,https://www.turbosquid.com/FullPreview/Index.cfm/ID/333193,Free,3D Model License: Standard,,0 Polygons,0 Vertices,No,No,Yes,No
Sofa,1020705,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1020705,Free,3D Model License: Standard,"OBJ, FBX, 3D Studio","2,100 Polygons","1,072 Vertices",Yes,Yes,Yes,Yes
Victorian Loveseat,950775,https://www.turbosquid.com/FullPreview/Index.cfm/ID/950775,Free,3D Model License: Standard,OBJ,"2,054 Polygons","2,275 Vertices",No,No,Yes,No
large red sofa,661734,https://www.turbosquid.com/FullPreview/Index.cfm/ID/661734,Free,3D Model License: Standard,"NATIVE3ds Max 9 | Default Scanline, OBJ, 3D Studio","32,162 Polygons","21,701 Vertices",Yes,Yes,Yes,Yes
"Sala, room",535445,https://www.turbosquid.com/FullPreview/Index.cfm/ID/535445,Free,3D Model License: Standard,Maya,0 Polygons,0 Vertices,No,No,Yes,No
sofas,207124,https://www.turbosquid.com/FullPreview/Index.cfm/ID/207124,Free,3D Model License: Standard,3ds Max 4.26,0 Polygons,0 Vertices,No,No,Yes,No
Victorian Couch,950762,https://www.turbosquid.com/FullPreview/Index.cfm/ID/950762,Free,3D Model License: Standard,OBJ,"5,810 Polygons","6,102 Vertices",No,No,Yes,No
leather chair,718040,https://www.turbosquid.com/FullPreview/Index.cfm/ID/718040,Free,3D Model License: Standard,"3ds Max 2013, FBX 2013",185 Polygons,242 Vertices,Yes,No,Yes,No
3D sofa round,1218619,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1218619,Free,3D Model License: Standard,"NATIVE3ds Max 2015 | mental ray, 3ds Max 2012 mental ray, OBJ, FBX, 3D Studio, DXF",490 Polygons,601 Vertices,No,No,Yes,No
3D Fellow Sofa,1183120,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1183120,Free,3D Model License: Standard,"NATIVE3ds Max 2011 | V-Ray, FBX, SketchUp 8",0 Polygons,0 Vertices,Yes,Yes,Yes,Yes
Low Poly Basic Sofa,1003554,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1003554,Free,3D Model License: Standard,"NATIVEBlender 1 | Blender Render, FBX 1","8,592 Polygons","4,316 Vertices",No,Yes,Yes,No
3D model Sofa and bed with pillows,1201915,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1201915,Free,3D Model License: Standard,"OBJ 2017, Maya 2017 Other 2017, FBX 2017","683,776 Polygons","685,239 Vertices",No,Yes,Yes,No
Destan_Seat_0002,964497,https://www.turbosquid.com/FullPreview/Index.cfm/ID/964497,Free,3D Model License: Standard,NATIVE3ds Max 2015 | V-Ray 3,"25,653 Polygons","36,524 Vertices",Yes,Yes,Yes,No
Modern Couch,631241,https://www.turbosquid.com/FullPreview/Index.cfm/ID/631241,Free,3D Model License: Standard,"NATIVE3ds Max 10 | mental ray, FBX, 3D Studio","9,902 Polygons","5,167 Vertices",Yes,Yes,Yes,No
Sofa,322934,https://www.turbosquid.com/FullPreview/Index.cfm/ID/322934,Free,3D Model License: Standard,3ds Max,0 Polygons,0 Vertices,No,No,Yes,No
sofa max3ds.exe,231741,https://www.turbosquid.com/FullPreview/Index.cfm/ID/231741,Free,3D Model License: Standard,3ds Max 5.0,"12,000 Polygons",0 Vertices,No,Yes,Yes,No
Leather Sofa,923288,https://www.turbosquid.com/FullPreview/Index.cfm/ID/923288,Free,3D Model License: Standard,3ds Max 2010 V-Ray,"31,712 Polygons","19,420 Vertices",Yes,Yes,Yes,No
couch,823044,https://www.turbosquid.com/FullPreview/Index.cfm/ID/823044,Free,3D Model License: Standard,OBJ,"10,076 Polygons","5,098 Vertices",No,No,Yes,Yes
Modern living room set,316302,https://www.turbosquid.com/FullPreview/Index.cfm/ID/316302,Free,3D Model License: Standard,3ds Max 8.0,"21,442 Polygons","7,850 Vertices",Yes,Yes,Yes,No
Sofa easy021_max,230776,https://www.turbosquid.com/FullPreview/Index.cfm/ID/230776,Free,3D Model License: Standard,3ds Max 3.0,"1,180 Polygons",606 Vertices,Yes,Yes,Yes,No
3D model Living room,1239342,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1239342,Free,3D Model License: Standard,Cinema 4D R18 Other R18,"4,383 Polygons","4,394 Vertices",No,Yes,Yes,No
canapea,1029639,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1029639,Free,3D Model License: Standard,,1 Polygons,1 Vertices,No,Yes,Yes,No
sitting room,861115,https://www.turbosquid.com/FullPreview/Index.cfm/ID/861115,Free,3D Model License: Standard,NATIVE3ds Max 2013 | mental ray,"230,928 Polygons","122,425 Vertices",Yes,Yes,Yes,No
Sofa,828208,https://www.turbosquid.com/FullPreview/Index.cfm/ID/828208,Free,3D Model License: Standard,3D Studio 12.0,"3,304 Polygons","20,853 Vertices",No,No,Yes,No
sofa,699936,https://www.turbosquid.com/FullPreview/Index.cfm/ID/699936,Free,3D Model License: Standard,NATIVE3ds Max 11 | V-Ray 1.50,"14,846 Polygons","7,703 Vertices",Yes,No,Yes,No
Couch,585370,https://www.turbosquid.com/FullPreview/Index.cfm/ID/585370,Free,3D Model License: Standard,3ds Max 2011,0 Polygons,0 Vertices,No,Yes,Yes,Yes
Sofa,414518,https://www.turbosquid.com/FullPreview/Index.cfm/ID/414518,Free,3D Model License: Standard,"OBJ, Lightwave, 3D Studio",0 Polygons,0 Vertices,No,No,Yes,No
sofa,745838,https://www.turbosquid.com/FullPreview/Index.cfm/ID/745838,Free,3D Model License: Standard,NATIVE3ds Max 2013 | V-Ray,"44,756 Polygons","22,386 Vertices",No,No,Yes,No
Sofa,666282,https://www.turbosquid.com/FullPreview/Index.cfm/ID/666282,Free,3D Model License: Standard,NATIVE3ds Max 2009 | V-Ray 2.0,112 Polygons,97 Vertices,No,Yes,Yes,No
sofa,612840,https://www.turbosquid.com/FullPreview/Index.cfm/ID/612840,Free,3D Model License: Standard,3ds Max 2012,0 Polygons,0 Vertices,Yes,No,Yes,No
Sofa.max,342179,https://www.turbosquid.com/FullPreview/Index.cfm/ID/342179,Free,3D Model License: Standard,3ds Max 8.0,"4,572 Polygons","2,314 Vertices",Yes,Yes,Yes,No
Leather Sofa Armchair 3D model,2066086,https://www.turbosquid.com/FullPreview/Index.cfm/ID/2066086,Free,3D Model License: Standard,"NATIVECinema 4D R21 | V-Ray 3.7, OBJ, FBX, 3D Studio",262 Polygons,137 Vertices,Yes,Yes,Yes,Yes
Sofa model,2045009,https://www.turbosquid.com/FullPreview/Index.cfm/ID/2045009,Free,3D Model License: Standard,"NATIVE3ds Max 2021 | V-Ray 6, OBJ 2021","415,310 Polygons","209,508 Vertices",Yes,Yes,Yes,No
Salzbourg 3D,2043793,https://www.turbosquid.com/FullPreview/Index.cfm/ID/2043793,Free,3D Model License: Standard,NATIVE3ds Max 2021 | V-Ray 6,"415,310 Polygons","209,508 Vertices",Yes,Yes,Yes,Yes
3D model couch,2037667,https://www.turbosquid.com/FullPreview/Index.cfm/ID/2037667,Free,3D Model License: Standard,NATIVEBlender 3.4 | EEVEE Renderer,614 Polygons,614 Vertices,Yes,No,Yes,No
3D Couch  Armcair  Pouffe,2029684,https://www.turbosquid.com/FullPreview/Index.cfm/ID/2029684,Free,3D Model License: Standard,"NATIVEBlender 3.0 | Cycles Render 3.4, OBJ, FBX, Collada, STL, DirectX","80,362 Polygons","80,697 Vertices",Yes,Yes,Yes,No
3D Se Beetley Sofa model,2021576,https://www.turbosquid.com/FullPreview/Index.cfm/ID/2021576,Free,3D Model License: Standard,"NATIVEBlender 3.3.1 | Cycles Render, OBJ, FBX",649 Polygons,649 Vertices,Yes,Yes,Yes,No
Simpsons Piano Room Couch model,2017180,https://www.turbosquid.com/FullPreview/Index.cfm/ID/2017180,Free,3D Model License: Standard,"NATIVEBlender 3.0 | Cycles Render, OBJ, FBX","31,000 Polygons","31,000 Vertices",Yes,Yes,Yes,Yes
Simpsons TV Room Couch 3D model,2016936,https://www.turbosquid.com/FullPreview/Index.cfm/ID/2016936,Free,3D Model License: Standard,"NATIVEBlender 3.0 | Cycles Render, OBJ, FBX","11,000 Polygons","11,000 Vertices",Yes,Yes,Yes,Yes
Hans Hollein MITZI sofa model,1995720,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1995720,Free,3D Model License: Standard,"3ds Max 2017 Corona 5, OBJ, FBX","12,058 Polygons","11,976 Vertices",Yes,Yes,Yes,Yes
3D model MinimalistSofa,1988007,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1988007,Free,3D Model License: Standard,"NATIVEBlender 3.3.1 | Cycles Render 3.3.1, FBX 3.3.1, Collada 3.3.1","4,429 Polygons","4,602 Vertices",Yes,Yes,Yes,Yes
3D Sofa Lauren model,1973837,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1973837,Free,3D Model License: Standard,"NATIVE3ds Max 2017 | Corona 6, OBJ, FBX, 3D Studio","6,034 Polygons","6,409 Vertices",Yes,Yes,Yes,Yes
