model_name,product_id,page_link,price,model_license,format,polygons,vertices,textures,materials,unwrapped_uvs,uv_mapped
Shapespark example room model,1964014,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1964014,Free,3D Model License: Standard,"NATIVEBlender 3.2.2 | EEVEE Renderer, FBX, glTF","668,078 Polygons","600,299 Vertices",Yes,Yes,Yes,Yes
Pink Couch model,1963842,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1963842,Free,3D Model License: Standard,"NATIVEBlender 3.2 | Blender Render, OBJ, FBX, glTF, STL, 3D Studio","30,856 Polygons","30,992 Vertices",No,Yes,Yes,No
wood sofa 3D,1953973,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1953973,Free,3D Model License: Standard,"NATIVEBlender 3.0 | EEVEE Renderer, OBJ, Maya 2023 Arnold, FBX, STL, USD 2023 Omniverse",364 Polygons,361 Vertices,Yes,Yes,Yes,Yes
Sofa202 model,1945169,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1945169,Free,3D Model License: Standard,"3ds Max 2020 V-Ray 6.00.06, OBJ, Cinema 4D R26.107 V-Ray, FBX, Blender 3.2.2 Cycles Render, 3D Studio, Collada, AutoCAD drawing, glTF, DXF, IGES, STL, VRML, ZBrush 2022 Other","43,114 Polygons","43,635 Vertices",Yes,Yes,Yes,Yes
Curved Sofa model,1943035,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1943035,Free,3D Model License: Standard,"NATIVE3ds Max 2020 | V-Ray 6.00.06, OBJ, Cinema 4D R26.107 V-Ray 5.20.06, FBX, Blender 3.2.2 Blender Render, 3D Studio, glTF, Collada, AutoCAD drawing, DXF, IGES, STL, ZBrush 2022 Other, VRML","69,840 Polygons","71,220 Vertices",Yes,Yes,Yes,Yes
3D Chesterfield model,1941774,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1941774,Free,3D Model License: Standard,"3ds Max 2022 Corona 6, 3ds Max 2019 Corona 6, OBJ, FBX",265 Polygons,266 Vertices,Yes,Yes,Yes,Yes
Modern Sofa 3D model,1928789,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1928789,Free,3D Model License: Standard,"3ds Max 2017 Corona 8, OBJ, FBX, 3D Studio","759,775 Polygons","756,452 Vertices",Yes,Yes,Yes,Yes
3D model sofa,1917684,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1917684,Free,3D Model License: Standard,"Cinema 4D R19 Advanced Render 19.024, FBX 7.5",10 Polygons,10 Vertices,Yes,Yes,Yes,No
Modern Chesterfield Sofa 3D model,1909339,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1909339,Free,3D Model License: Standard,"NATIVE3ds Max 2017 | Corona Corona6, 3D Studio","1,738,876 Polygons","1,510,591 Vertices",Yes,Yes,Yes,Yes
Modern Sofa 3D model,1906601,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1906601,Free,3D Model License: Standard,"3ds Max 2018 Corona Corona6, 3ds Max 2017 Corona Corona6, 3ds Max 2019 Corona Corona6, 3ds Max 2020 Corona Corona6, OBJ, FBX","1,326,862 Polygons","756,306 Vertices",Yes,No,Yes,Yes
Modern Sofa 3D model,1906107,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1906107,Free,3D Model License: Standard,"NATIVE3ds Max 2017 | Corona Corona6, FBX 2017","1,072,835 Polygons","1,054,470 Vertices",Yes,No,Yes,No
Sofa for interior 006 3D model,1896628,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1896628,Free,3D Model License: Standard,"OBJ 3.0.0, FBX 3.0.0, Blender 3.0.0 Cycles Render 3.0.0, Collada 3.0.0",1 Polygons,1 Vertices,Yes,Yes,Yes,No
lowpoly perfume bottle 3D model,1851255,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1851255,Free,3D Model License: Standard,"OBJ, Cinema 4D R19 Advanced Render 19.024, FBX, Blender 3.2.0 Blender Render, 3D Studio, STL",6 Polygons,6 Vertices,No,Yes,Yes,No
Vissionaire Bastian Babylon 3D model,1850334,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1850334,Free,3D Model License: Standard,"NATIVE3ds Max 2017 | Corona 1,4, 3ds Max 2014 Corona 1,4, OBJ 2017, FBX 2017","1,199,370 Polygons","1,200,206 Vertices",Yes,Yes,Yes,Yes
Garden Couch 3D model,1845475,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1845475,Free,3D Model License: Standard,"NATIVEBlender 1.0 | EEVEE Renderer 2.93, OBJ 1.0, FBX 1.0","73,769 Polygons","73,721 Vertices",Yes,Yes,Yes,Yes
3D model wood sofa,1830304,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1830304,Free,3D Model License: Standard,"NATIVEBlender 3.0 | Cycles Render, OBJ, FBX","254,268 Polygons","127,148 Vertices",Yes,No,Yes,Yes
realistic sofa pbr model,1830302,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1830302,Free,3D Model License: Standard,"NATIVEBlender 3.0 | Cycles Render, OBJ, FBX","387,824 Polygons","193,938 Vertices",Yes,No,Yes,Yes
Modern sofa 3D model,1827049,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1827049,Free,3D Model License: Standard,"NATIVE3ds Max 2019 | Corona, 3ds Max 2019 V-Ray","1,399,150 Polygons","969,621 Vertices",Yes,Yes,Yes,Yes
3D Leather sofa model,1812252,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1812252,Free,3D Model License: Standard,"NATIVEBlender 2.93.4 | Cycles Render, OBJ, FBX","203,810 Polygons","203,960 Vertices",Yes,Yes,Yes,No
William 302 Zanotta Couch 3D model,1784256,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1784256,Free,3D Model License: Standard,"NATIVEBlender 2021 | Cycles Render 2.93, OBJ 2021","459,121 Polygons","459,595 Vertices",Yes,Yes,Yes,Yes
High Quality Sofa model,1762081,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1762081,Free,3D Model License: Standard,OBJ 2.9,"32,257 Polygons","32,326 Vertices",Yes,Yes,Yes,Yes
Couch model,1762071,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1762071,Free,3D Model License: Standard,OBJ,"170,175 Polygons","8,539 Vertices",No,No,Yes,No
Realistic Leather Couch Collection  4 Colours with Pillows 3D model,1752559,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1752559,Free,3D Model License: Standard,"NATIVEBlender 2.93 | Cycles Render, OBJ, FBX, Blender 2.93 Cycles Render","1,303,289 Polygons","1,303,683 Vertices",Yes,Yes,Yes,Yes
Set of upholstered furniture Steampunk 3D model,1750382,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1750382,Free,3D Model License: Standard,3D Studio 2017,"1,018,601 Polygons","1,024,729 Vertices",Yes,Yes,Yes,Yes
3D model Kawaii House Interior Pack,1731053,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1731053,Free,3D Model License: Standard,Unity 2020.3.5f1,"5,753 Polygons","11,256 Vertices",Yes,Yes,Yes,Yes
3D OLD-SCHOOL LOW-POLY SOFA AND ARMCHAIRS model,1728657,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1728657,Free,3D Model License: Standard,FBX,40 Polygons,20 Vertices,Yes,No,Yes,No
OLD-SCHOOL LOW-POLY SOFA 3D model,1727902,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1727902,Free,3D Model License: Standard,FBX,34 Polygons,36 Vertices,Yes,No,Yes,No
3D Sofa for archviz 3D model,1726606,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1726606,Free,3D Model License: Standard,"Blender 2,92 Cycles Render","55,327 Polygons","27,839 Vertices",Yes,Yes,Yes,No
3D SOFA model,1720552,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1720552,Free,3D Model License: Standard,NATIVE3ds Max 2018 | Corona 5,"14,444 Polygons","2,444,444 Vertices",No,No,Yes,No
Cow sofa 3D model,1716851,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1716851,Free,3D Model License: Standard,"3ds Max 2019 V-Ray, 3ds Max 2018 V-Ray, 3ds Max 2020 V-Ray, 3ds Max 2021 V-Ray, OBJ, FBX, 3D Studio, Collada, AutoCAD drawing, DXF","137,339 Polygons","70,356 Vertices",Yes,Yes,Yes,Yes
3D Armchair,1707841,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1707841,Free,3D Model License: Standard,"NATIVE3ds Max 2020 | Corona 2020, 3ds Max 2020 Corona 2020","54,410 Polygons","50,206 Vertices",No,No,Yes,No
Classic Sofa and coffee table 3D model,1696461,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1696461,Free,3D Model License: Standard,"NATIVEBlender 2.91 | Cycles Render, OBJ, Cinema 4D R20 Default Scanline, FBX, Collada, DirectX","539,894 Polygons","347,383 Vertices",No,Yes,Yes,No
A sofa furniture set 3D model,1671326,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1671326,Free,3D Model License: Standard,"NATIVEBlender 1.0 | Cycles Render 1.0, FBX 1.0, Collada 1.0, glTF 1.0","335,012 Polygons","335,067 Vertices",Yes,Yes,Yes,Yes
A sofa furniture set model,1671110,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1671110,Free,3D Model License: Standard,"NATIVEBlender 1.0 | Cycles Render 1.0, FBX 1.0, glTF 1.0","335,012 Polygons","335,067 Vertices",Yes,Yes,Yes,Yes
sofa interior 3d by cyberalex blackfriday 3D model,1636512,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1636512,Free,3D Model License: Standard,"Blender 2.8 Cycles Render 2.8, PNG 2.8","1,100,000 Polygons","2,172,000 Vertices",Yes,Yes,Yes,No
3D Couch model,1633093,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1633093,Free,3D Model License: Standard,Blender 2.80 Cycles Render,"64,903 Polygons","65,982 Vertices",No,Yes,Yes,No
3D Zanotta William Three-seat sofa,1610069,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1610069,Free,3D Model License: Standard,"NATIVEBlender 2.83 | Cycles Render, OBJ, FBX, Collada","247,422 Polygons","247,434 Vertices",Yes,Yes,Yes,Yes
RG Model Pack 01 model,1604409,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1604409,Free,3D Model License: Standard,FBX 2015,"500,000 Polygons","280,000 Vertices",Yes,Yes,Yes,Yes
modern Velvet Sofa 3D model,1602350,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1602350,Free,3D Model License: Standard,"NATIVE3ds Max 2015 | V-Ray 5, FBX 2018","15,874 Polygons","16,019 Vertices",Yes,Yes,Yes,Yes
Sofa 3D model,1596731,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1596731,Free,3D Model License: Standard,"NATIVEBlender 2.82 | Cycles Render, OBJ, FBX","1,302,716 Polygons","1,303,153 Vertices",Yes,Yes,Yes,Yes
3D model Simple Sofa,1586027,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1586027,Free,3D Model License: Standard,"3ds Max 2021 Arnold, 3ds Max 2018 Arnold, FBX, SketchUp 2019","31,030 Polygons","31,200 Vertices",Yes,Yes,Yes,Yes
3D SVEN Sofa for model,1572979,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1572979,Free,3D Model License: Standard,NATIVE3ds Max 2016 | Default Scanline,0 Polygons,0 Vertices,Yes,No,Yes,No
Sofa 3D model,1572924,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1572924,Free,3D Model License: Standard,"3ds Max 2019 Default Scanline, OBJ","3,816 Polygons","2,334 Vertices",No,No,Yes,No
3D Grey Couch model,1566298,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1566298,Free,3D Model License: Standard,NATIVE3ds Max 1.0 | iray 1.0,"20,742 Polygons","20,681 Vertices",Yes,No,Yes,Yes
"3D sofa cherter fbx, boj, x3d, stl, dae",1548146,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1548146,Free,3D Model License: Standard,OBJ,38 Polygons,41 Vertices,Yes,Yes,Yes,Yes
Low Poly Furniture Pack 3D,1543960,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1543960,Free,3D Model License: Standard,"NATIVEBlender 2.82 | EEVEE Renderer, OBJ, FBX, Collada","1,034 Polygons",500 Vertices,No,No,Yes,Yes
3D Vigo / Friheten / Malmsta / Solleftea / Stockholm,1539977,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1539977,Free,3D Model License: Standard,"NATIVE3ds Max 2016 | V-Ray 3.40, 3ds Max 2013 V-Ray 3.40, OBJ, FBX 2009","210,356 Polygons","228,248 Vertices",Yes,Yes,Yes,Yes
sectioned wood couch 3D model,1533328,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1533328,Free,3D Model License: Standard,"OBJ, FBX, 3D Studio","47,902 Polygons","40,168 Vertices",No,No,Yes,No
3D two-seated couch,1510246,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1510246,Free,3D Model License: Standard,"3ds Max 2017 Corona, 3ds Max 2017 V-Ray next, 3ds Max 2020 Corona, 3ds Max 2020 V-Ray next, OBJ, FBX","5,935 Polygons","6,129 Vertices",Yes,Yes,Yes,Yes
3D model Simple Sofa,1498060,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1498060,Free,3D Model License: Standard,"OBJ 2019, Maya 2019 V-Ray, FBX 2019","4,788 Polygons","2,474 Vertices",Yes,No,Yes,Yes
setting area 3D model,1495403,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1495403,Free,3D Model License: Standard,"NATIVE3ds Max 2020 | Other, OBJ, FBX, 3D Studio","40,710 Polygons","20,911 Vertices",No,No,Yes,No
3D model Chair,1495401,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1495401,Free,3D Model License: Standard,"NATIVE3ds Max 2020 | Other, OBJ, FBX, 3D Studio","39,245 Polygons","28,250 Vertices",No,No,Yes,No
3D model Sofa,1492229,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1492229,Free,3D Model License: Standard,"NATIVE3ds Max 2020 | Other, 3ds Max 2017 Other, OBJ, FBX","31,897 Polygons","21,304 Vertices",No,No,Yes,No
Sofa(1) model,1492222,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1492222,Free,3D Model License: Standard,"NATIVE3ds Max 2020 | Other, 3ds Max 2017 Other, OBJ, FBX","1,012 Polygons","1,000 Vertices",No,No,Yes,No
3D SOFA SETI,1489149,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1489149,Free,3D Model License: Standard,"3ds Max 2015 V-Ray 3.5, OBJ 2015, FBX 2015, 3D Studio 2015","76,202 Polygons","38,268 Vertices",Yes,Yes,Yes,Yes
Sofa 3D model,1482314,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1482314,Free,3D Model License: Standard,"FBX, Blender 2.80 Blender Render","1,149,800 Polygons","1,149,831 Vertices",No,No,Yes,No
3D Game ready Sofa,1477221,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1477221,Free,3D Model License: Standard,FBX,338 Polygons,192 Vertices,Yes,Yes,Yes,Yes
Living Room Assets 3D model,1471905,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1471905,Free,3D Model License: Standard,"NATIVEBlender 2.80 | Cycles Render 2.80, FBX","561,246 Polygons","281,940 Vertices",Yes,Yes,Yes,Yes
SimpleSofa model,1469945,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1469945,Free,3D Model License: Standard,"NATIVECinema 4D R19 | Physical, FBX 7.4(2014)","32,912 Polygons","98,736 Vertices",Yes,Yes,Yes,No
3D Sofa,1469403,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1469403,Free,3D Model License: Standard,"NATIVEBlender 2.8 | Cycles Render, OBJ, FBX",1 Polygons,1 Vertices,No,Yes,Yes,No
3D Black  Wooden Sofa,1466913,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1466913,Free,3D Model License: Standard,"NATIVEBlender 2.8 | EEVEE Renderer, OBJ, FBX, Collada, STL",11 Polygons,"10,236 Vertices",Yes,Yes,Yes,Yes
Sofa 3D model,1417261,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1417261,Free,3D Model License: Standard,3ds Max 2017 V-Ray 3.40.01,"823,072 Polygons","508,950 Vertices",Yes,Yes,Yes,Yes
3D sofa model,1405898,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1405898,Free,3D Model License: Standard,,"2,819,902 Polygons","1,420,796 Vertices",Yes,Yes,Yes,No
Couch 3D model,1405527,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1405527,Free,3D Model License: Standard,FBX,"3,064 Polygons","2,992 Vertices",Yes,Yes,Yes,Yes
3D sofa,1403071,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1403071,Free,3D Model License: Standard,"NATIVE3ds Max 2014 | V-Ray 3,0, OBJ 2014, FBX 2014","2,850 Polygons","3,064 Vertices",Yes,Yes,Yes,Yes
3D model Sofa,1361501,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1361501,Free,3D Model License: Standard,NATIVE3ds Max 2013 | Default Scanline,"4,214 Polygons","3,790 Vertices",No,Yes,Yes,No
Sectional Sofa 3D,1342139,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1342139,Free,3D Model License: Standard,"NATIVE3ds Max 2015 | V-Ray 3.20.02, 3ds Max 2012 V-Ray 3.20.02, OBJ, FBX","506,613 Polygons","342,306 Vertices",Yes,Yes,Yes,Yes
3D Sofa loft style 3,1341075,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1341075,Free,3D Model License: Standard,"NATIVE3ds Max 2016 | V-Ray, 3ds Max 2016 V-Ray, OBJ, FBX, 3D Studio, Collada, AutoCAD drawing, DXF, Pulse, Shockwave 3D, VRML","4,982 Polygons","5,109 Vertices",Yes,Yes,Yes,Yes
3D model sofa modern style,1333184,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1333184,Free,3D Model License: Standard,"NATIVE3ds Max 2016 | V-Ray, OBJ, FBX, 3D Studio, Collada, AutoCAD drawing, DXF, Pulse, STL, Shockwave 3D, VRML","37,300 Polygons","19,489 Vertices",Yes,Yes,Yes,Yes
3D model sofa with fabric upholstery,1332452,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1332452,Free,3D Model License: Standard,"NATIVE3ds Max 2016 | V-Ray, OBJ, FBX, Collada, AutoCAD drawing, DXF, Pulse, STL, Shockwave 3D, VRML, 3D Studio","37,300 Polygons","19,489 Vertices",Yes,Yes,Yes,Yes
3D model Plastic Sofa,1315138,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1315138,Free,3D Model License: Standard,"NATIVE3ds Max 2013 | V-Ray, OBJ 2013, FBX 2013","43,296 Polygons","43,320 Vertices",No,Yes,Yes,No
3D model Modern fabric couch,1305525,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1305525,Free,3D Model License: Standard,"OBJ, Maya 2018 V-Ray 3.6, FBX 2014/15","17,276 Polygons","17,296 Vertices",Yes,Yes,Yes,Yes
AIR SOFA model,1287462,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1287462,Free,3D Model License: Standard,"3ds Max 2015 Corona 5, OBJ 2015, FBX 2015, 3D Studio 2015","92,890 Polygons","92,934 Vertices",Yes,Yes,Yes,Yes
3D model Modern Sofa,1250502,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1250502,Free,3D Model License: Standard,"OBJ, Cinema 4D R15 VRAYforC4D","119,832 Polygons","120,130 Vertices",No,No,Yes,No
3D sofa model,1234748,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1234748,Free,3D Model License: Standard,"NATIVE3ds Max 2016 | V-Ray 3.6, OBJ, FBX","12,305 Polygons",6 Vertices,Yes,Yes,Yes,Yes
3D model Baxter Casper Sofa,1220387,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1220387,Free,3D Model License: Standard,"NATIVE3ds Max 2015 | Corona 1.7, 3ds Max 2015 V-Ray 3.60, OBJ","63,198 Polygons","63,985 Vertices",Yes,Yes,Yes,Yes
Sofa,1113014,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1113014,Free,3D Model License: Standard,"NATIVEBlender 2.78a | Cycles Render, OBJ, FBX, 3D Studio","7,000 Polygons","8,000 Vertices",No,Yes,Yes,No
Couch,1103626,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1103626,Free,3D Model License: Standard,"NATIVERhino Rhino 5, 3ds Max 3ds V-Ray 3, OBJ obj, SketchUp skp","45,473 Polygons","34,212 Vertices",No,No,Yes,Yes
Large Sofa,1079534,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1079534,Free,3D Model License: Standard,NATIVE3ds Max 2017 | V-Ray 3.40.01,"203,072 Polygons","194,690 Vertices",Yes,Yes,Yes,Yes
volcano with treasure,1039185,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1039185,Free,3D Model License: Standard,"NATIVEMaya 2012 | Arnold, Maya 2012 mental ray, Maya 2012 Arnold, JPEG 2012","1,500 Polygons",650 Vertices,Yes,Yes,Yes,Yes
Sofa,1019010,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1019010,Free,3D Model License: Standard,"NATIVE3ds Max 2012 | V-Ray 2.30, OBJ 2010, FBX 2009","81,886 Polygons","81,932 Vertices",Yes,Yes,Yes,Yes
Leather Couch,954469,https://www.turbosquid.com/FullPreview/Index.cfm/ID/954469,Free,3D Model License: Standard,"OBJ, FBX, Collada","268,228 Polygons","269,017 Vertices",No,Yes,Yes,Yes
Modern Couch and Coffee Table,894901,https://www.turbosquid.com/FullPreview/Index.cfm/ID/894901,Free,3D Model License: Standard,"NATIVE3ds Max 2014 | mental ray, OBJ, FBX","14,128 Polygons","7,094 Vertices",No,Yes,Yes,No
classical sofa3 yayik,879401,https://www.turbosquid.com/FullPreview/Index.cfm/ID/879401,Free,3D Model License: Standard,3ds Max 2014 V-Ray 3.00.03,"45,612 Polygons","43,253 Vertices",No,Yes,Yes,Yes
Sofa,842712,https://www.turbosquid.com/FullPreview/Index.cfm/ID/842712,Free,3D Model License: Standard,"NATIVE3ds Max 2009 | V-Ray 2.0, OBJ 2009","108,400 Polygons","59,174 Vertices",Yes,Yes,Yes,Yes
quilted seat,834850,https://www.turbosquid.com/FullPreview/Index.cfm/ID/834850,Free,3D Model License: Standard,3ds Max 2014 V-Ray 2.40,"232,628 Polygons","248,765 Vertices",Yes,Yes,Yes,Yes
Two Seat Fabric Sofa Realistic,829270,https://www.turbosquid.com/FullPreview/Index.cfm/ID/829270,Free,3D Model License: Standard,NATIVE3ds Max 2013 | V-Ray 2.3,"199,601 Polygons","200,242 Vertices",Yes,Yes,Yes,Yes
red,812706,https://www.turbosquid.com/FullPreview/Index.cfm/ID/812706,Free,3D Model License: Standard,3ds Max 2014 V-Ray 2.0,"17,618 Polygons","13,868 Vertices",Yes,Yes,Yes,No
Sofa,771250,https://www.turbosquid.com/FullPreview/Index.cfm/ID/771250,Free,3D Model License: Standard,OBJ,"1,056 Polygons",10 Vertices,No,No,Yes,No
modern sofa,756359,https://www.turbosquid.com/FullPreview/Index.cfm/ID/756359,Free,3D Model License: Standard,"3ds Max 2010 V-Ray 2.30, FBX","199,665 Polygons","101,720 Vertices",Yes,Yes,Yes,Yes
Sofa collection IRIS by DIZAJNO,745383,https://www.turbosquid.com/FullPreview/Index.cfm/ID/745383,Free,3D Model License: Standard,3ds Max 2012 V-Ray,"16,822 Polygons","20,442 Vertices",Yes,Yes,Yes,Yes
Leather Sofa,739941,https://www.turbosquid.com/FullPreview/Index.cfm/ID/739941,Free,3D Model License: Standard,"NATIVE3ds Max 2012 | V-Ray 2.30, OBJ 2012, FBX 2012, 3D Studio 2012","3,457 Polygons","3,654 Vertices",Yes,Yes,Yes,No
Provasi Richard,739903,https://www.turbosquid.com/FullPreview/Index.cfm/ID/739903,Free,3D Model License: Standard,"NATIVE3ds Max 2010 | V-Ray, OBJ","839,190 Polygons","419,993 Vertices",No,No,Yes,No
couch,720616,https://www.turbosquid.com/FullPreview/Index.cfm/ID/720616,Free,3D Model License: Standard,"3ds Max, FBX",274 Polygons,372 Vertices,Yes,No,Yes,No
couch.3ds,398130,https://www.turbosquid.com/FullPreview/Index.cfm/ID/398130,Free,3D Model License: Standard,3D Studio,0 Polygons,240 Vertices,No,No,Yes,No
SOFA3.3DS,319644,https://www.turbosquid.com/FullPreview/Index.cfm/ID/319644,Free,3D Model License: Standard,3D Studio,"8,626 Polygons",0 Vertices,No,No,Yes,No
divan2.max,303647,https://www.turbosquid.com/FullPreview/Index.cfm/ID/303647,Free,3D Model License: Standard,3ds Max,0 Polygons,0 Vertices,Yes,Yes,Yes,No
Bed.max,251445,https://www.turbosquid.com/FullPreview/Index.cfm/ID/251445,Free,3D Model License: Standard,3ds Max 5,0 Polygons,0 Vertices,No,No,Yes,No
sofa2.3DS,250779,https://www.turbosquid.com/FullPreview/Index.cfm/ID/250779,Free,3D Model License: Standard,3D Studio,0 Polygons,0 Vertices,No,No,Yes,No
